iter	Passed	Remaining
0	10	10712
1	22	11012
2	32	10803
3	41	10246
4	53	10651
5	64	10687
6	73	10481
7	84	10440
8	93	10294
9	103	10285
10	115	10408
11	125	10342
12	136	10331
13	146	10303
14	155	10189
15	168	10343
16	179	10374
17	188	10307
18	199	10312
19	209	10258
20	218	10183
21	229	10195
22	238	10110
23	248	10095
24	257	10030
25	266	9989
26	279	10087
27	288	10025
28	298	9984
29	315	10186
30	328	10264
31	339	10271
32	349	10242
33	360	10252
34	371	10241
35	382	10242
36	394	10258
37	404	10240
38	414	10213
39	425	10212
40	436	10219
41	448	10236
42	461	10265
43	475	10320
44	485	10300
45	496	10291
46	508	10307
47	520	10318
48	529	10271
49	541	10285
50	553	10297
51	562	10256
52	573	10242
53	585	10257
54	596	10251
55	608	10263
56	623	10321
57	635	10313
58	644	10283
59	655	10271
60	667	10279
61	677	10248
62	688	10242
63	700	10242
64	710	10220
65	721	10214
66	732	10203
67	741	10160
68	752	10157
69	764	10163
70	779	10201
71	790	10192
72	804	10216
73	815	10207
74	826	10189
75	836	10169
76	847	10164
77	857	10139
78	868	10122
79	878	10105
80	889	10096
81	903	10110
82	917	10136
83	931	10158
84	942	10150
85	954	10147
86	967	10151
87	982	10179
88	996	10201
89	1009	10202
90	1018	10173
91	1028	10153
92	1039	10141
93	1049	10116
94	1060	10099
95	1071	10086
96	1082	10079
97	1095	10082
98	1107	10077
99	1120	10087
100	1132	10077
101	1143	10063
102	1153	10045
103	1165	10037
104	1176	10024
105	1188	10027
106	1199	10010
107	1219	10071
108	1231	10066
109	1242	10056
110	1255	10054
111	1269	10064
112	1279	10046
113	1291	10036
114	1303	10031
115	1313	10010
116	1325	10000
117	1337	9994
118	1346	9971
119	1359	9972
120	1373	9976
121	1385	9970
122	1396	9957
123	1408	9950
124	1421	9951
125	1433	9943
126	1445	9934
127	1456	9924
128	1476	9968
129	1487	9957
130	1500	9954
131	1514	9958
132	1529	9972
133	1542	9970
134	1555	9964
135	1568	9963
136	1580	9955
137	1590	9932
138	1600	9916
139	1614	9916
140	1628	9920
141	1638	9898
142	1649	9882
143	1661	9878
144	1673	9866
